"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"268","amiodarone","DTXSID7022592","NOEC",623,"ug/L","Fathead Minnow","Fish",645.32
"269","atenolol","DTXSID2022628","NOEC",3200,"ug/L","Fathead Minnow","Fish",266.341
"270","atenolol","DTXSID2022628","NOEC",10000,"ug/L","Fathead Minnow","Fish",266.341
"271","atenolol","DTXSID2022628","NOEC",0.00026634,"ug/L","Rainbow Trout","Fish",266.341
"272","atenolol","DTXSID2022628","NOEC",266.34,"ug/L","Rainbow Trout","Fish",266.341
"273","atenolol","DTXSID2022628","NOEC",5000,"ug/L","Zebra Danio","Fish",266.341
"274","atenolol","DTXSID2022628","NOEC",7500,"ug/L","Zebra Danio","Fish",266.341
"275","atenolol","DTXSID2022628","NOEC",10000,"ug/L","Zebra Danio","Fish",266.341
"276","atenolol","DTXSID2022628","NOEC",26634,"ug/L","Zebra Danio","Fish",266.341
"277","atenolol","DTXSID2022628","NOEC",5000,"ug/L","Zebra Danio","Fish",266.341
"278","fluoxetine","DTXSID7023067","NOEC",3.2,"ug/L","Zebra Danio","Fish",309.332
"279","fluoxetine","DTXSID7023067","NOEC",32,"ug/L","Zebra Danio","Fish",309.332
"280","fluoxetine","DTXSID7023067","NOEC",54,"ug/L","Goldfish","Fish",309.332
"281","fluoxetine","DTXSID7023067","NOEC",0.01,"ug/L","Zebra Danio","Fish",309.332
"282","fluoxetine","DTXSID7023067","NOEC",0.54,"ug/L","Goldfish","Fish",309.332
"283","fluoxetine","DTXSID7023067","NOEC",1,"ug/L","Zebra Danio","Fish",309.332
"284","fluoxetine","DTXSID7023067","NOEC",30.9331,"ug/L","Topminnow","Fish",309.332
"285","fluoxetine","DTXSID7023067","NOEC",54,"ug/L","Goldfish","Fish",309.332
"286","fluoxetine","DTXSID7023067","NOEC",2000,"ug/L","African Clawed Frog","Amphibians",309.332
"287","fluoxetine","DTXSID7023067","NOEC",6186.62,"ug/L","Topminnow","Fish",309.332
"288","fluoxetine","DTXSID7023067","NOEC",1e-05,"ug/L","Chinook Salmon","Fish",309.332
"289","fluoxetine","DTXSID7023067","NOEC",0.001,"ug/L","Chinook Salmon","Fish",309.332
"290","fluoxetine","DTXSID7023067","NOEC",0.32,"ug/L","Zebra Danio","Fish",309.332
"291","fluoxetine","DTXSID7023067","NOEC",0.54,"ug/L","Goldfish","Fish",309.332
"292","fluoxetine","DTXSID7023067","NOEC",1,"ug/L","Zebra Danio","Fish",309.332
"293","fluoxetine","DTXSID7023067","NOEC",2500,"ug/L","Chinook Salmon","Fish",309.332
"294","fluoxetine","DTXSID7023067","NOEC",3.2,"ug/L","Zebra Danio","Fish",309.332
"295","fluoxetine","DTXSID7023067","NOEC",5000,"ug/L","Goldfish","Fish",309.332
"296","fluoxetine","DTXSID7023067","NOEC",6000,"ug/L","Bluehead Wrasse","Fish",309.332
"297","fluoxetine","DTXSID7023067","NOEC",32,"ug/L","Zebra Danio","Fish",309.332
"298","fluoxetine","DTXSID7023067","NOEC",54,"ug/L","Goldfish","Fish",309.332
"299","fluoxetine","DTXSID7023067","NOEC",100,"ug/L","Zebra Danio","Fish",309.332
"300","fluoxetine","DTXSID7023067","NOEC",216.532,"ug/L","Zebra Danio","Fish",309.332
"301","fluoxetine","DTXSID7023067","NOEC",0.54,"ug/L","Goldfish","Fish",309.332
"302","fluoxetine","DTXSID7023067","NOEC",3093.31,"ug/L","Rainbow Trout","Fish",309.332
"303","fluoxetine","DTXSID7023067","NOEC",5567.96,"ug/L","Topminnow","Fish",309.332
"304","fluoxetine","DTXSID7023067","NOEC",11135.9,"ug/L","Rainbow Trout","Fish",309.332
"305","fluoxetine","DTXSID7023067","NOEC",309331,"ug/L","Common Carp","Fish",309.332
"306","fluoxetine","DTXSID7023067","NOEC",1330120,"ug/L","Siamese Fighting Fish","Fish",309.332
"307","pravastatin","DTXSID6023498","NOEC",84.9069,"ug/L","Zebra Danio","Fish",424.534
"308","pravastatin","DTXSID6023498","NOEC",424.535,"ug/L","Zebra Danio","Fish",424.534
"309","carvedilol","DTXSID8022747","NOEC",406.481,"ug/L","Zebra Danio","Fish",406.482
"310","spironolactone","DTXSID6034186","NOEC",0.04,"ug/L","Fathead Minnow","Fish",416.58
"311","spironolactone","DTXSID6034186","NOEC",0.5,"ug/L","Fathead Minnow","Fish",416.58
"312","spironolactone","DTXSID6034186","NOEC",0.6,"ug/L","Japanese Medaka","Fish",416.58
"313","spironolactone","DTXSID6034186","NOEC",2.6,"ug/L","Fathead Minnow","Fish",416.58
"314","spironolactone","DTXSID6034186","NOEC",3.3,"ug/L","Japanese Medaka","Fish",416.58
"315","spironolactone","DTXSID6034186","NOEC",44,"ug/L","Fathead Minnow","Fish",416.58
"316","spironolactone","DTXSID6034186","NOEC",48,"ug/L","Japanese Medaka","Fish",416.58
"317","spironolactone","DTXSID6034186","NOEC",1e+05,"ug/L","Mummichog","Fish",416.58
"318","spironolactone","DTXSID6034186","NOEC",5e+05,"ug/L","Nile Tilapia","Fish",416.58
"319","spironolactone","DTXSID6034186","NOEC",1e+06,"ug/L","Mummichog","Fish",416.58
"320","phenytoin","DTXSID8020541","NOEC",100,"ug/L","Pumpkinseed","Fish",252.273
"321","phenytoin","DTXSID8020541","NOEC",25000,"ug/L","African Clawed Frog","Amphibians",252.273
"322","phenytoin","DTXSID8020541","NOEC",75000,"ug/L","African Clawed Frog","Amphibians",252.273
"323","phenytoin","DTXSID8020541","NOEC",1e+05,"ug/L","Fathead Minnow","Fish",252.273
"324","phenytoin","DTXSID8020541","NOEC",113523,"ug/L","Zebra Danio","Fish",252.273
"325","propranolol","DTXSID6023525","NOEC",500,"ug/L","Japanese Medaka","Fish",259.349
"326","propranolol","DTXSID6023525","NOEC",4.11,"ug/L","Fathead Minnow","Fish",259.349
"327","propranolol","DTXSID6023525","NOEC",1296.745,"ug/L","African Clawed Frog","Amphibians",259.349
"328","propranolol","DTXSID6023525","NOEC",12967450,"ug/L","Rainbow Trout","Fish",259.349
"329","propranolol","DTXSID6023525","NOEC",1000,"ug/L","Tiger Salamander","Amphibians",259.349
"330","propranolol","DTXSID6023525","NOEC",2000,"ug/L","Rainbow Trout","Fish",259.349
"331","propranolol","DTXSID6023525","NOEC",2.59348,"ug/L","Common Carp","Fish",259.349
"332","propranolol","DTXSID6023525","NOEC",31.8,"ug/L","Zebra Danio","Fish",259.349
"333","propranolol","DTXSID6023525","NOEC",259.348,"ug/L","Zebra Danio","Fish",259.349
"334","propranolol","DTXSID6023525","NOEC",500,"ug/L","Japanese Medaka","Fish",259.349
"335","propranolol","DTXSID6023525","NOEC",2593.48,"ug/L","Rainbow Trout","Fish",259.349
"336","propranolol","DTXSID6023525","NOEC",25934.8,"ug/L","Common Carp","Fish",259.349
"337","propranolol","DTXSID6023525","NOEC",32418.5,"ug/L","Rainbow Trout","Fish",259.349
"338","propranolol","DTXSID6023525","NOEC",31.8,"ug/L","Zebra Danio","Fish",259.349
"339","propranolol","DTXSID6023525","NOEC",100,"ug/L","Japanese Medaka","Fish",259.349
"340","citalopram","DTXSID8022826","NOEC",2.3,"ug/L","Endler's Guppy","Fish",324.399
"341","citalopram","DTXSID8022826","NOEC",15,"ug/L","Endler's Guppy","Fish",324.399
"342","citalopram","DTXSID8022826","NOEC",1,"ug/L","Endler's Guppy","Fish",324.399
"343","rosuvastatin","DTXSID8048492","NOEC",481.539,"ug/L","Zebra Danio","Fish",481.54
"344","nitrofurantoin","DTXSID7020972","NOEC",5000,"ug/L","Dover Sole","Fish",238.159
"345","nifedipine","DTXSID2025715","NOEC",346.34,"ug/L","Zebra Danio","Fish",346.339
"346","nifedipine","DTXSID2025715","NOEC",34634,"ug/L","Bluegill","Fish",346.339
"347","nifedipine","DTXSID2025715","NOEC",69267.9,"ug/L","Atlantic Croaker","Fish",346.339
"348","oseltamivir","DTXSID9044291","NOEC",0.3,"ug/L","Japanese Medaka","Fish",312.41
"349","oseltamivir","DTXSID9044291","NOEC",300,"ug/L","Japanese Medaka","Fish",312.41
"350","buspirone","DTXSID2022707","NOEC",5000,"ug/L","Zebra Danio","Fish",385.512
"351","buspirone","DTXSID2022707","NOEC",50000,"ug/L","Zebra Danio","Fish",385.512
"352","clarithromycin","DTXSID3022829","NOEC",1e+06,"ug/L","Zebra Danio","Fish",747.964
"353","fluconazole","DTXSID3020627","NOEC",200,"ug/L","Chinese Rare Minnow","Fish",306.277
"354","meloxicam","DTXSID1020803","NOEC",100,"ug/L","Zebra Danio","Fish",351.4
"355","morphine","DTXSID9023336","NOEC",2e+05,"ug/L","Zebra Danio","Fish",285.343
"356","morphine","DTXSID9023336","NOEC",1000,"ug/L","Zebra Danio","Fish",285.343
"357","morphine","DTXSID9023336","NOEC",1500,"ug/L","Zebra Danio","Fish",285.343
"358","lovastatin","DTXSID5020784","NOEC",10000,"ug/L","African Clawed Frog","Amphibians",404.547
"359","lovastatin","DTXSID5020784","NOEC",16.1819,"ug/L","Zebra Danio","Fish",404.547
"360","baclofen","DTXSID5022641","NOEC",7050.78,"ug/L","African Clawed Frog","Amphibians",213.66
"361","sotalol","DTXSID0023589","NOEC",272.362,"ug/L","Zebra Danio","Fish",272.36
"362","paroxetine","DTXSID3023425","NOEC",32.9371,"ug/L","Topminnow","Fish",329.371
"363","paroxetine","DTXSID3023425","NOEC",2000,"ug/L","African Clawed Frog","Amphibians",329.371
"364","paroxetine","DTXSID3023425","NOEC",6587.42,"ug/L","Topminnow","Fish",329.371
"365","paroxetine","DTXSID3023425","NOEC",329371,"ug/L","Common Carp","Fish",329.371
"366","nortriptyline","DTXSID9023384","NOEC",1.58,"ug/L","Zebra Danio","Fish",263.384
"367","nortriptyline","DTXSID9023384","NOEC",28.12,"ug/L","Zebra Danio","Fish",263.384
"368","nortriptyline","DTXSID9023384","NOEC",500,"ug/L","Zebra Danio","Fish",263.384
"369","nortriptyline","DTXSID9023384","NOEC",4800,"ug/L","Zebra Danio","Fish",263.384
"370","nortriptyline","DTXSID9023384","NOEC",46900,"ug/L","Zebra Danio","Fish",263.384
"371","telmisartan","DTXSID8023636","NOEC",20.5851,"ug/L","Zebra Danio","Fish",514.629
"372","telmisartan","DTXSID8023636","NOEC",514.627,"ug/L","Zebra Danio","Fish",514.629
"373","indomethacin","DTXSID9020740","NOEC",10000,"ug/L","Zebra Danio","Fish",357.79
"374","indomethacin","DTXSID9020740","NOEC",91.9,"ug/L","Fathead Minnow","Fish",357.79
"375","indomethacin","DTXSID9020740","NOEC",100,"ug/L","Zebra Danio","Fish",357.79
"376","indomethacin","DTXSID9020740","NOEC",50000,"ug/L","Zebra Danio","Fish",357.79
"377","indomethacin","DTXSID9020740","NOEC",1,"ug/L","Zebra Danio","Fish",357.79
"378","indomethacin","DTXSID9020740","NOEC",100,"ug/L","Zebra Danio","Fish",357.79
"379","indomethacin","DTXSID9020740","NOEC",2e+05,"ug/L","Zebra Danio","Fish",357.79
"380","diazepam","DTXSID4020406","NOEC",0.235,"ug/L","Zebra Danio","Fish",284.74
"381","diazepam","DTXSID4020406","NOEC",0.273,"ug/L","Zebra Danio","Fish",284.74
"382","diazepam","DTXSID4020406","NOEC",260,"ug/L","Zebra Danio","Fish",284.74
"383","diazepam","DTXSID4020406","NOEC",273,"ug/L","Zebra Danio","Fish",284.74
"384","diazepam","DTXSID4020406","NOEC",291,"ug/L","Zebra Danio","Fish",284.74
"385","diazepam","DTXSID4020406","NOEC",6130,"ug/L","Eastern Mosquitofish","Fish",284.74
"386","diazepam","DTXSID4020406","NOEC",8830,"ug/L","Eastern Mosquitofish","Fish",284.74
"387","diazepam","DTXSID4020406","NOEC",4000,"ug/L","Banded Knifefish","Fish",284.74
"388","diazepam","DTXSID4020406","NOEC",2130,"ug/L","Pumpkinseed","Fish",284.74
"389","diazepam","DTXSID4020406","NOEC",4260,"ug/L","Pumpkinseed","Fish",284.74
"390","diazepam","DTXSID4020406","NOEC",72000,"ug/L","Zebra Danio","Fish",284.74
"391","ezetimibe","DTXSID1044223","NOEC",20.4716,"ug/L","Zebra Danio","Fish",409.433
"392","ezetimibe","DTXSID1044223","NOEC",2047.16,"ug/L","Zebra Danio","Fish",409.433
"393","sulfamethoxazole","DTXSID8026064","NOEC",10,"ug/L","Brown Striped Marsh Frog","Amphibians",253.28
"394","sulfamethoxazole","DTXSID8026064","NOEC",80,"ug/L","Goldfish","Fish",253.28
"395","sulfamethoxazole","DTXSID8026064","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians",253.28
"396","sulfamethoxazole","DTXSID8026064","NOEC",1e+06,"ug/L","Zebra Danio","Fish",253.28
"397","sulfamethoxazole","DTXSID8026064","NOEC",500,"ug/L","Japanese Medaka","Fish",253.28
"398","sulfamethoxazole","DTXSID8026064","NOEC",533,"ug/L","Zebra Danio","Fish",253.28
"399","sulfamethoxazole","DTXSID8026064","NOEC",7914.86,"ug/L","Rainbow Trout","Fish",253.28
"400","sulfamethoxazole","DTXSID8026064","NOEC",10000,"ug/L","Japanese Medaka","Fish",253.28
"401","sulfamethoxazole","DTXSID8026064","NOEC",25327.6,"ug/L","Zebra Danio","Fish",253.28
"402","sulfamethoxazole","DTXSID8026064","NOEC",63318.9,"ug/L","Rainbow Trout","Fish",253.28
"403","sulfamethoxazole","DTXSID8026064","NOEC",533,"ug/L","Zebra Danio","Fish",253.28
"404","warfarin","DTXSID5023742","NOEC",9635.42,"ug/L","Zebra Danio","Fish",308.333
"405","temazepam","DTXSID8021309","NOEC",0.708,"ug/L","Fathead Minnow","Fish",300.74
"406","temazepam","DTXSID8021309","NOEC",0.708,"ug/L","Fathead Minnow","Fish",300.74
"407","quinapril","DTXSID4023547","NOEC",438.524,"ug/L","Zebra Danio","Fish",438.524
"408","finasteride","DTXSID3020625","NOEC",10,"ug/L","Clawed Frog","Amphibians",372.553
"409","finasteride","DTXSID3020625","NOEC",37255.1,"ug/L","Clawed Frog","Amphibians",372.553
"410","metoclopramide","DTXSID6045169","NOEC",1000,"ug/L","Goldfish","Fish",299.8
"411","metoclopramide","DTXSID6045169","NOEC",10000,"ug/L","Goldfish","Fish",299.8
"412","bismuth subsalicylate","DTXSID6024622","NOEC",700,"ug/L","Rat","Mammals",362.093
"413","methimazole","DTXSID4020820","NOEC",3.42495,"ug/L","Japanese Medaka","Fish",114.17
"414","methimazole","DTXSID4020820","NOEC",344,"ug/L","Fathead Minnow","Fish",114.17
"415","methimazole","DTXSID4020820","NOEC",10,"ug/L","African Clawed Frog","Amphibians",114.17
"416","methimazole","DTXSID4020820","NOEC",113.6,"ug/L","Fathead Minnow","Fish",114.17
"417","methimazole","DTXSID4020820","NOEC",343.9,"ug/L","Fathead Minnow","Fish",114.17
"418","methimazole","DTXSID4020820","NOEC",114165,"ug/L","African Clawed Frog","Amphibians",114.17
"419","methimazole","DTXSID4020820","NOEC",1141.65,"ug/L","Zebra Danio","Fish",114.17
"420","methimazole","DTXSID4020820","NOEC",22833,"ug/L","Zebra Danio","Fish",114.17
"421","methimazole","DTXSID4020820","NOEC",31966.2,"ug/L","Danio","Fish",114.17
"422","methimazole","DTXSID4020820","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians",114.17
"423","methimazole","DTXSID4020820","NOEC",114165,"ug/L","Clawed Frog","Amphibians",114.17
"424","methimazole","DTXSID4020820","NOEC",500043,"ug/L","Danio","Fish",114.17
"425","trimethoprim","DTXSID3023712","NOEC",25000,"ug/L","Guppy","Fish",290.323
"426","trimethoprim","DTXSID3023712","NOEC",1e+05,"ug/L","Guppy","Fish",290.323
"427","trimethoprim","DTXSID3023712","NOEC",157,"ug/L","Zebra Danio","Fish",290.323
"428","trimethoprim","DTXSID3023712","NOEC",157,"ug/L","Zebra Danio","Fish",290.323
"429","nadolol","DTXSID3023342","NOEC",2000,"ug/L","Rainbow Trout","Fish",309.406
"430","ramipril","DTXSID8023551","NOEC",416.517,"ug/L","Zebra Danio","Fish",416.518
"431","enalapril","DTXSID5022982","NOEC",0.0376453,"ug/L","Striped Mullet","Fish",376.453
"432","enalapril","DTXSID5022982","NOEC",3.76453,"ug/L","Striped Mullet","Fish",376.453
"433","enalapril","DTXSID5022982","NOEC",376.453,"ug/L","Striped Mullet","Fish",376.453
"434","bisoprolol","DTXSID6022682","NOEC",325.448,"ug/L","Zebra Danio","Fish",325.449
"435","haloperidol","DTXSID4034150","NOEC",2067.29,"ug/L","Zebra Danio","Fish",375.87
"436","haloperidol","DTXSID4034150","NOEC",3006.96,"ug/L","Zebra Danio","Fish",375.87
"437","haloperidol","DTXSID4034150","NOEC",9396.76,"ug/L","Zebra Danio","Fish",375.87
"438","prazosin","DTXSID4049082","NOEC",19170.3,"ug/L","Copper Rockfish","Fish",383.408
"439","letrozole","DTXSID4023202","NOEC",2853.08,"ug/L","Zebra Danio","Fish",285.31
"440","bumetanide","DTXSID5022699","NOEC",36441.6,"ug/L","Fathead Minnow","Fish",364.42
"441","nitroglycerin","DTXSID1021407","NOEC",30,"ug/L","Rainbow Trout","Fish",227.085
"442","nitroglycerin","DTXSID1021407","NOEC",60,"ug/L","Rainbow Trout","Fish",227.085
"443","nitroglycerin","DTXSID1021407","NOEC",120,"ug/L","Fathead Minnow","Fish",227.085
"444","nitroglycerin","DTXSID1021407","NOEC",200,"ug/L","Fathead Minnow","Fish",227.085
"445","nitroglycerin","DTXSID1021407","NOEC",290,"ug/L","Rainbow Trout","Fish",227.085
"446","nitroglycerin","DTXSID1021407","NOEC",330,"ug/L","Fathead Minnow","Fish",227.085
"447","nitroglycerin","DTXSID1021407","NOEC",30,"ug/L","Rainbow Trout","Fish",227.085
"448","nitroglycerin","DTXSID1021407","NOEC",60,"ug/L","Rainbow Trout","Fish",227.085
"449","nitroglycerin","DTXSID1021407","NOEC",200,"ug/L","Fathead Minnow","Fish",227.085
"450","nitroglycerin","DTXSID1021407","NOEC",290,"ug/L","Rainbow Trout","Fish",227.085
"451","nitroglycerin","DTXSID1021407","NOEC",330,"ug/L","Fathead Minnow","Fish",227.085
"452","anastrozole","DTXSID9022607","NOEC",1e+05,"ug/L","Common Carp","Fish",293.374
"453","anastrozole","DTXSID9022607","NOEC",2e+05,"ug/L","Common Carp","Fish",293.374
"454","anastrozole","DTXSID9022607","NOEC",2900,"ug/L","Japanese Medaka","Fish",293.374
"455","ketoprofen","DTXSID6020771","NOEC",1,"ug/L","Atlantic Salmon","Fish",254.285
"456","ketoprofen","DTXSID6020771","NOEC",25.4285,"ug/L","Topminnow","Fish",254.285
"457","ketoprofen","DTXSID6020771","NOEC",100,"ug/L","Zebra Danio","Fish",254.285
"458","ketoprofen","DTXSID6020771","NOEC",5085.71,"ug/L","Topminnow","Fish",254.285
"459","ketoprofen","DTXSID6020771","NOEC",10000,"ug/L","Zebra Danio","Fish",254.285
"460","ketoprofen","DTXSID6020771","NOEC",50000,"ug/L","Zebra Danio","Fish",254.285
"461","ketoprofen","DTXSID6020771","NOEC",1,"ug/L","Topminnow","Fish",254.285
"462","ketoprofen","DTXSID6020771","NOEC",100,"ug/L","Topminnow","Fish",254.285
"463","ketoprofen","DTXSID6020771","NOEC",1000,"ug/L","Topminnow","Fish",254.285
"464","ketoprofen","DTXSID6020771","NOEC",25428.5,"ug/L","Common Carp","Fish",254.285
"465","ketoprofen","DTXSID6020771","NOEC",254285,"ug/L","Common Carp","Fish",254.285
"466","beclomethasone","DTXSID5040750","NOEC",408.922,"ug/L","Zebra Danio","Fish",408.92
"467","ethinyl estradiol","DTXSID5020576","NOEC",5e-04,"ug/L","Zebra Danio","Fish",296.41
"468","ethinyl estradiol","DTXSID5020576","NOEC",0.00076,"ug/L","Fathead Minnow","Fish",296.41
"469","ethinyl estradiol","DTXSID5020576","NOEC",0.00091,"ug/L","Chinese Rare Minnow","Fish",296.41
"470","ethinyl estradiol","DTXSID5020576","NOEC",0.001,"ug/L","Zebra Danio","Fish",296.41
"471","ethinyl estradiol","DTXSID5020576","NOEC",0.0011,"ug/L","Zebra Danio","Fish",296.41
"472","ethinyl estradiol","DTXSID5020576","NOEC",0.0013,"ug/L","Fathead Minnow","Fish",296.41
"473","ethinyl estradiol","DTXSID5020576","NOEC",0.00175,"ug/L","Threespine Stickleback","Fish",296.41
"474","ethinyl estradiol","DTXSID5020576","NOEC",0.002,"ug/L","Zebra Danio","Fish",296.41
"475","ethinyl estradiol","DTXSID5020576","NOEC",0.00208,"ug/L","Brown Trout","Fish",296.41
"476","ethinyl estradiol","DTXSID5020576","NOEC",0.00212,"ug/L","Brown Trout","Fish",296.41
"477","ethinyl estradiol","DTXSID5020576","NOEC",0.0024,"ug/L","Brown Trout","Fish",296.41
"478","ethinyl estradiol","DTXSID5020576","NOEC",0.0028,"ug/L","Fathead Minnow","Fish",296.41
"479","ethinyl estradiol","DTXSID5020576","NOEC",0.003,"ug/L","Fathead Minnow","Fish",296.41
"480","ethinyl estradiol","DTXSID5020576","NOEC",0.00361,"ug/L","Chinese Rare Minnow","Fish",296.41
"481","ethinyl estradiol","DTXSID5020576","NOEC",0.004,"ug/L","Roach","Fish",296.41
"482","ethinyl estradiol","DTXSID5020576","NOEC",2.96409e-05,"ug/L","Zebra Danio","Fish",296.41
"483","ethinyl estradiol","DTXSID5020576","NOEC",4e-05,"ug/L","Roach","Fish",296.41
"484","ethinyl estradiol","DTXSID5020576","NOEC",9e-05,"ug/L","Zebra Danio","Fish",296.41
"485","ethinyl estradiol","DTXSID5020576","NOEC",1e-04,"ug/L","Mummichog","Fish",296.41
"486","ethinyl estradiol","DTXSID5020576","NOEC",0.00012,"ug/L","Fathead Minnow","Fish",296.41
"487","ethinyl estradiol","DTXSID5020576","NOEC",4e-04,"ug/L","Zebra Danio","Fish",296.41
"488","ethinyl estradiol","DTXSID5020576","NOEC",0.00013,"ug/L","Rainbow Trout","Fish",296.41
"489","ethinyl estradiol","DTXSID5020576","NOEC",0.00016,"ug/L","Fathead Minnow","Fish",296.41
"490","ethinyl estradiol","DTXSID5020576","NOEC",0.00018,"ug/L","Chinese Rare Minnow","Fish",296.41
"491","ethinyl estradiol","DTXSID5020576","NOEC",0.00021,"ug/L","Rainbow Trout","Fish",296.41
"492","ethinyl estradiol","DTXSID5020576","NOEC",3e-04,"ug/L","Roach","Fish",296.41
"493","ethinyl estradiol","DTXSID5020576","NOEC",0.00031,"ug/L","Zebra Danio","Fish",296.41
"494","ethinyl estradiol","DTXSID5020576","NOEC",0.00036,"ug/L","Zebra Danio","Fish",296.41
"495","ethinyl estradiol","DTXSID5020576","NOEC",0.00048,"ug/L","Fathead Minnow","Fish",296.41
"496","ethinyl estradiol","DTXSID5020576","NOEC",5e-04,"ug/L","Zebra Danio","Fish",296.41
"497","ethinyl estradiol","DTXSID5020576","NOEC",0.00072,"ug/L","Zebra Danio","Fish",296.41
"498","ethinyl estradiol","DTXSID5020576","NOEC",0.00076,"ug/L","Fathead Minnow","Fish",296.41
"499","ethinyl estradiol","DTXSID5020576","NOEC",0.00078,"ug/L","Roach","Fish",296.41
"500","ethinyl estradiol","DTXSID5020576","NOEC",8e-04,"ug/L","Fathead Minnow","Fish",296.41
"501","ethinyl estradiol","DTXSID5020576","NOEC",0.00091,"ug/L","Chinese Rare Minnow","Fish",296.41
"502","ethinyl estradiol","DTXSID5020576","NOEC",0.002,"ug/L","Zebra Danio","Fish",296.41
"503","ethinyl estradiol","DTXSID5020576","NOEC",0.00098,"ug/L","Fathead Minnow","Fish",296.41
"504","ethinyl estradiol","DTXSID5020576","NOEC",0.001,"ug/L","Zebra Danio","Fish",296.41
"505","ethinyl estradiol","DTXSID5020576","NOEC",0.0011,"ug/L","Brown Trout","Fish",296.41
"506","ethinyl estradiol","DTXSID5020576","NOEC",0.0016,"ug/L","Fathead Minnow","Fish",296.41
"507","ethinyl estradiol","DTXSID5020576","NOEC",0.00175,"ug/L","Threespine Stickleback","Fish",296.41
"508","ethinyl estradiol","DTXSID5020576","NOEC",0.00177846,"ug/L","Clawed Frog","Amphibians",296.41
"509","ethinyl estradiol","DTXSID5020576","NOEC",0.0018,"ug/L","Threespine Stickleback","Fish",296.41
"510","ethinyl estradiol","DTXSID5020576","NOEC",0.0019,"ug/L","Japanese Medaka","Fish",296.41
"511","ethinyl estradiol","DTXSID5020576","NOEC",0.00207487,"ug/L","Frog","Amphibians",296.41
"512","ethinyl estradiol","DTXSID5020576","NOEC",0.00208,"ug/L","Brown Trout","Fish",296.41
"513","ethinyl estradiol","DTXSID5020576","NOEC",0.00212,"ug/L","Brown Trout","Fish",296.41
"514","ethinyl estradiol","DTXSID5020576","NOEC",0.0024,"ug/L","Brown Trout","Fish",296.41
"515","ethinyl estradiol","DTXSID5020576","NOEC",0.0025,"ug/L","Japanese Medaka","Fish",296.41
"516","ethinyl estradiol","DTXSID5020576","NOEC",0.0028,"ug/L","Fathead Minnow","Fish",296.41
"517","ethinyl estradiol","DTXSID5020576","NOEC",0.0029,"ug/L","Zebra Danio","Fish",296.41
"518","ethinyl estradiol","DTXSID5020576","NOEC",2,"ug/L","Guppy","Fish",296.41
"519","ethinyl estradiol","DTXSID5020576","NOEC",0.003,"ug/L","Roach","Fish",296.41
"520","ethinyl estradiol","DTXSID5020576","NOEC",0.0036,"ug/L","Viviporous Blenny","Fish",296.41
"521","ethinyl estradiol","DTXSID5020576","NOEC",0.00361,"ug/L","Chinese Rare Minnow","Fish",296.41
"522","ethinyl estradiol","DTXSID5020576","NOEC",0.004,"ug/L","Roach","Fish",296.41
"523","ethinyl estradiol","DTXSID5020576","NOEC",0.00434,"ug/L","Nile Tilapia","Fish",296.41
"524","ethinyl estradiol","DTXSID5020576","NOEC",0.0045,"ug/L","Zebra Danio","Fish",296.41
"525","ethinyl estradiol","DTXSID5020576","NOEC",0.0047,"ug/L","Sea Bass","Fish",296.41
"526","ethinyl estradiol","DTXSID5020576","NOEC",4e-05,"ug/L","Roach","Fish",296.41
"527","ethinyl estradiol","DTXSID5020576","NOEC",0.005,"ug/L","Atlantic Salmon","Fish",296.41
"528","ethinyl estradiol","DTXSID5020576","NOEC",0.0054,"ug/L","Fathead Minnow","Fish",296.41
"529","ethinyl estradiol","DTXSID5020576","NOEC",0.00558,"ug/L","Zebra Danio","Fish",296.41
"530","ethinyl estradiol","DTXSID5020576","NOEC",0.0058,"ug/L","Bronze Frog","Amphibians",296.41
"531","ethinyl estradiol","DTXSID5020576","NOEC",0.006,"ug/L","Zebra Danio","Fish",296.41
"532","ethinyl estradiol","DTXSID5020576","NOEC",0.0061,"ug/L","Bronze Frog","Amphibians",296.41
"533","ethinyl estradiol","DTXSID5020576","NOEC",0.00635,"ug/L","Threespine Stickleback","Fish",296.41
"534","ethinyl estradiol","DTXSID5020576","NOEC",0.007,"ug/L","Fathead Minnow","Fish",296.41
"535","ethinyl estradiol","DTXSID5020576","NOEC",0.0078,"ug/L","Fathead Minnow","Fish",296.41
"536","ethinyl estradiol","DTXSID5020576","NOEC",0.008,"ug/L","Guppy","Fish",296.41
"537","ethinyl estradiol","DTXSID5020576","NOEC",0.0081,"ug/L","Fathead Minnow","Fish",296.41
"538","ethinyl estradiol","DTXSID5020576","NOEC",0.00836,"ug/L","Zebra Danio","Fish",296.41
"539","ethinyl estradiol","DTXSID5020576","NOEC",0.0093,"ug/L","Zebra Danio","Fish",296.41
"540","ethinyl estradiol","DTXSID5020576","NOEC",0.01,"ug/L","Rainbow Trout","Fish",296.41
"541","ethinyl estradiol","DTXSID5020576","NOEC",0.0106,"ug/L","Fathead Minnow","Fish",296.41
"542","ethinyl estradiol","DTXSID5020576","NOEC",0.011,"ug/L","Sand Goby","Fish",296.41
