"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"63","naproxen","DTXSID4040686","NOEC",2302.63,"ug/L","Topminnow","Fish",230.263
"64","naproxen","DTXSID4040686","NOEC",4605.27,"ug/L","Topminnow","Fish",230.263
"65","naproxen","DTXSID4040686","NOEC",10000,"ug/L","Zebra Danio","Fish",230.263
"66","naproxen","DTXSID4040686","NOEC",50000,"ug/L","Zebra Danio","Fish",230.263
"67","naproxen","DTXSID4040686","NOEC",230263,"ug/L","Common Carp","Fish",230.263
"68","aspirin","DTXSID5020108","NOEC",100,"ug/L","Zebra Danio","Fish",180.159
"69","aspirin","DTXSID5020108","NOEC",42157.5,"ug/L","Zebra Danio","Fish",180.159
"70","aspirin","DTXSID5020108","NOEC",50000,"ug/L","Zebra Danio","Fish",180.159
"71","aspirin","DTXSID5020108","NOEC",580000,"ug/L","Zebra Danio","Fish",180.159
"72","aspirin","DTXSID5020108","NOEC",1207070,"ug/L","Zebra Danio","Fish",180.159
"73","aspirin","DTXSID5020108","NOEC",100,"ug/L","Zebra Danio","Fish",180.159
"74","aspirin","DTXSID5020108","NOEC",2738.43,"ug/L","Zebra Danio","Fish",180.159
"75","aspirin","DTXSID5020108","NOEC",9098.08,"ug/L","Zebra Danio","Fish",180.159
"76","aspirin","DTXSID5020108","NOEC",27312.3,"ug/L","Zebra Danio","Fish",180.159
"77","metoprolol","DTXSID2023309","NOEC",5,"ug/L","Rainbow Trout","Fish",267.369
"78","metoprolol","DTXSID2023309","NOEC",53.4737,"ug/L","Zebra Danio","Fish",267.369
"79","metoprolol","DTXSID2023309","NOEC",267.368,"ug/L","Zebra Danio","Fish",267.369
"80","losartan","DTXSID7023227","NOEC",16.9167,"ug/L","Zebra Danio","Fish",422.92
"81","losartan","DTXSID7023227","NOEC",422.917,"ug/L","Zebra Danio","Fish",422.92
"82","atorvastatin","DTXSID8029868","NOEC",0.013,"ug/L","Zebra Danio","Fish",558.65
"83","atorvastatin","DTXSID8029868","NOEC",10000,"ug/L","African Clawed Frog","Amphibians",558.65
"84","atorvastatin","DTXSID8029868","NOEC",530,"ug/L","Zebra Danio","Fish",558.65
"85","atorvastatin","DTXSID8029868","NOEC",111.73,"ug/L","Zebra Danio","Fish",558.65
"86","atorvastatin","DTXSID8029868","NOEC",558.65,"ug/L","Zebra Danio","Fish",558.65
"87","tramadol","DTXSID90858931","NOEC",658.45,"ug/L","Zebra Danio","Fish",263.381
"88","gemfibrozil","DTXSID0020652","NOEC",100135,"ug/L","Rainbow Trout","Fish",250.338
"89","gemfibrozil","DTXSID0020652","NOEC",0.38,"ug/L","Zebra Danio","Fish",250.338
"90","gemfibrozil","DTXSID0020652","NOEC",1,"ug/L","Zebra Danio","Fish",250.338
"91","gemfibrozil","DTXSID0020652","NOEC",1.6,"ug/L","Zebra Danio","Fish",250.338
"92","gemfibrozil","DTXSID0020652","NOEC",1.65,"ug/L","Fathead Minnow","Fish",250.338
"93","gemfibrozil","DTXSID0020652","NOEC",14,"ug/L","Fathead Minnow","Fish",250.338
"94","gemfibrozil","DTXSID0020652","NOEC",14.5,"ug/L","Fathead Minnow","Fish",250.338
"95","gemfibrozil","DTXSID0020652","NOEC",17.5,"ug/L","Zebra Danio","Fish",250.338
"96","gemfibrozil","DTXSID0020652","NOEC",40,"ug/L","Japanese Medaka","Fish",250.338
"97","gemfibrozil","DTXSID0020652","NOEC",43.7,"ug/L","Japanese Medaka","Fish",250.338
"98","gemfibrozil","DTXSID0020652","NOEC",1e+05,"ug/L","Rainbow Trout","Fish",250.338
"99","gemfibrozil","DTXSID0020652","NOEC",400,"ug/L","Japanese Medaka","Fish",250.338
"100","gemfibrozil","DTXSID0020652","NOEC",659,"ug/L","Fathead Minnow","Fish",250.338
"101","gemfibrozil","DTXSID0020652","NOEC",851.9,"ug/L","Goldfish","Fish",250.338
"102","gemfibrozil","DTXSID0020652","NOEC",1500,"ug/L","Zebra Danio","Fish",250.338
"103","gemfibrozil","DTXSID0020652","NOEC",1558,"ug/L","Fathead Minnow","Fish",250.338
"104","gemfibrozil","DTXSID0020652","NOEC",2503.38,"ug/L","Topminnow","Fish",250.338
"105","gemfibrozil","DTXSID0020652","NOEC",3000,"ug/L","Zebra Danio","Fish",250.338
"106","gemfibrozil","DTXSID0020652","NOEC",3700,"ug/L","Japanese Medaka","Fish",250.338
"107","gemfibrozil","DTXSID0020652","NOEC",5000,"ug/L","Zebra Danio","Fish",250.338
"108","gemfibrozil","DTXSID0020652","NOEC",5006.76,"ug/L","Topminnow","Fish",250.338
"109","gemfibrozil","DTXSID0020652","NOEC",6850,"ug/L","Zebra Danio","Fish",250.338
"110","gemfibrozil","DTXSID0020652","NOEC",12150,"ug/L","Zebra Danio","Fish",250.338
"111","gemfibrozil","DTXSID0020652","NOEC",14810,"ug/L","Zebra Danio","Fish",250.338
